Regiao;Estado;HABITANTES
NORTE;Rondônia;1.815.278
NORTE;Acre;906.876
NORTE;Amazonas;4.269.995
NORTE;Roraima;652.713
NORTE;Pará;8.777.124
NORTE;Amapá;877.613
NORTE;Tocantins;1.607.363
NORDESTE;Maranhão;7.153.262
NORDESTE;Piauí;3.289.290
NORDESTE;Ceará;9.240.580
NORDESTE;Rio Grande do Norte;3.560.903
NORDESTE;Paraíba;4.059.905
NORDESTE;Pernambuco;9.674.793
NORDESTE;Alagoas;3.365.351
NORDESTE;Sergipe;2.338.474
NORDESTE;Bahia;14.985.284
SUDESTE;Minas Gerais;21.411.923
SUDESTE;Espírito Santo;4.108.508
SUDESTE;Rio de Janeiro;17.463.349
SUDESTE;São Paulo;46.649.132
SUL;Paraná;11.597.484
SUL;Santa Catarina;7.338.473
SUL;Rio Grande do Sul;11.466.630
CENTRO OESTE;Mato Grosso do Sul;2.839.188
CENTRO OESTE;Mato Grosso;3.567.234
CENTRO OESTE;Goiás;7.206.589
CENTRO OESTE;Distrito Federal;3.094.325
